    Raman shift    inc freq                      X                               Y                                Z
                                            Real       Imag                 Real       Imag                 Real       Imag
                                   -0.836803E-14  -0.253069E-15      0.359776E-13   0.106324E-14      0.685239E-03   0.271040E-04

      0.00000    33351.00790        0.168587E+01   0.503174E-01     -0.778507E+01  -0.232357E+00     -0.839336E-14  -0.255229E-15

                                   -0.778507E+01  -0.232357E+00      0.359501E+02   0.107299E+01      0.360839E-13   0.107212E-14

                                   -0.839336E-14  -0.255229E-15      0.360839E-13   0.107212E-14      0.687949E-03   0.273840E-04

      0.00000    33391.33560        0.169091E+01   0.507408E-01     -0.780833E+01  -0.234313E+00     -0.841890E-14  -0.257414E-15

                                   -0.780833E+01  -0.234313E+00      0.360576E+02   0.108202E+01      0.361913E-13   0.108110E-14

                                   -0.841890E-14  -0.257414E-15      0.361913E-13   0.108110E-14      0.690687E-03   0.276682E-04

      0.00000    33431.66330        0.169599E+01   0.511690E-01     -0.783178E+01  -0.236290E+00     -0.844466E-14  -0.259623E-15

                                   -0.783178E+01  -0.236290E+00      0.361659E+02   0.109115E+01      0.362995E-13   0.109018E-14

                                   -0.844466E-14  -0.259623E-15      0.362995E-13   0.109018E-14      0.693454E-03   0.279569E-04

      0.00000    33471.99100        0.170111E+01   0.516021E-01     -0.785543E+01  -0.238290E+00     -0.847066E-14  -0.261860E-15

                                   -0.785543E+01  -0.238290E+00      0.362751E+02   0.110038E+01      0.364087E-13   0.109938E-14

                                   -0.847066E-14  -0.261860E-15      0.364087E-13   0.109938E-14      0.696249E-03   0.282499E-04

      0.00000    33512.31870        0.170627E+01   0.520403E-01     -0.787929E+01  -0.240313E+00     -0.849686E-14  -0.264123E-15

                                   -0.787929E+01  -0.240313E+00      0.363852E+02   0.110973E+01      0.365186E-13   0.110866E-14

                                   -0.849686E-14  -0.264123E-15      0.365186E-13   0.110866E-14      0.699074E-03   0.285476E-04

      0.00000    33552.64640        0.171148E+01   0.524835E-01     -0.790334E+01  -0.242360E+00     -0.852330E-14  -0.266413E-15

                                   -0.790334E+01  -0.242360E+00      0.364963E+02   0.111918E+01      0.366296E-13   0.111807E-14

                                   -0.852330E-14  -0.266413E-15      0.366296E-13   0.111807E-14      0.701928E-03   0.288499E-04

      0.00000    33592.97410        0.171674E+01   0.529318E-01     -0.792760E+01  -0.244430E+00     -0.854996E-14  -0.268732E-15

                                   -0.792760E+01  -0.244430E+00      0.366083E+02   0.112874E+01      0.367416E-13   0.112757E-14

                                   -0.854996E-14  -0.268732E-15      0.367416E-13   0.112757E-14      0.704812E-03   0.291570E-04

      0.00000    33633.30180        0.172203E+01   0.533854E-01     -0.795207E+01  -0.246525E+00     -0.857686E-14  -0.271077E-15

                                   -0.795207E+01  -0.246525E+00      0.367213E+02   0.113841E+01      0.368544E-13   0.113719E-14

                                   -0.857686E-14  -0.271077E-15      0.368544E-13   0.113719E-14      0.707727E-03   0.294690E-04

      0.00000    33673.62950        0.172738E+01   0.538444E-01     -0.797674E+01  -0.248644E+00     -0.860399E-14  -0.273451E-15

                                   -0.797674E+01  -0.248644E+00      0.368353E+02   0.114820E+01      0.369683E-13   0.114693E-14

                                   -0.860399E-14  -0.273451E-15      0.369683E-13   0.114693E-14      0.710672E-03   0.297859E-04

      0.00000    33713.95720        0.173277E+01   0.543087E-01     -0.800163E+01  -0.250789E+00     -0.863136E-14  -0.275854E-15

                                   -0.800163E+01  -0.250789E+00      0.369502E+02   0.115810E+01      0.370831E-13   0.115677E-14

                                   -0.863136E-14  -0.275854E-15      0.370831E-13   0.115677E-14      0.713650E-03   0.301080E-04

      0.00000    33754.28490        0.173820E+01   0.547786E-01     -0.802673E+01  -0.252958E+00     -0.865897E-14  -0.278286E-15

                                   -0.802673E+01  -0.252958E+00      0.370661E+02   0.116812E+01      0.371989E-13   0.116673E-14

                                   -0.865897E-14  -0.278286E-15      0.371989E-13   0.116673E-14      0.716659E-03   0.304353E-04

      0.00000    33794.61260        0.174369E+01   0.552541E-01     -0.805205E+01  -0.255154E+00     -0.868681E-14  -0.280749E-15

                                   -0.805205E+01  -0.255154E+00      0.371830E+02   0.117826E+01      0.373156E-13   0.117681E-14

                                   -0.868681E-14  -0.280749E-15      0.373156E-13   0.117681E-14      0.719701E-03   0.307679E-04

      0.00000    33834.94030        0.174922E+01   0.557352E-01     -0.807759E+01  -0.257376E+00     -0.871491E-14  -0.283242E-15

                                   -0.807759E+01  -0.257376E+00      0.373010E+02   0.118852E+01      0.374334E-13   0.118701E-14

                                   -0.871491E-14  -0.283242E-15      0.374334E-13   0.118701E-14      0.722776E-03   0.311060E-04

      0.00000    33875.26800        0.175479E+01   0.562222E-01     -0.810335E+01  -0.259625E+00     -0.874326E-14  -0.285767E-15

                                   -0.810335E+01  -0.259625E+00      0.374199E+02   0.119890E+01      0.375522E-13   0.119732E-14

                                   -0.874326E-14  -0.285767E-15      0.375522E-13   0.119732E-14      0.725885E-03   0.314496E-04

      0.00000    33915.59570        0.176042E+01   0.567150E-01     -0.812933E+01  -0.261901E+00     -0.877185E-14  -0.288322E-15

                                   -0.812933E+01  -0.261901E+00      0.375399E+02   0.120941E+01      0.376721E-13   0.120777E-14

                                   -0.877185E-14  -0.288322E-15      0.376721E-13   0.120777E-14      0.729028E-03   0.317990E-04

      0.00000    33955.92340        0.176610E+01   0.572139E-01     -0.815554E+01  -0.264204E+00     -0.880071E-14  -0.290911E-15

                                   -0.815554E+01  -0.264204E+00      0.376609E+02   0.122005E+01      0.377929E-13   0.121834E-14

                                   -0.880071E-14  -0.290911E-15      0.377929E-13   0.121834E-14      0.732206E-03   0.321542E-04

