  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      37464.43         0.10589E+04   0.44669E+03   0.39353E+04   0.00000E+00
       0.00      37504.76         0.10715E+04   0.45204E+03   0.39825E+04   0.00000E+00
       0.00      37545.09         0.10845E+04   0.45750E+03   0.40307E+04   0.00000E+00
       0.00      37585.42         0.10977E+04   0.46306E+03   0.40799E+04   0.00000E+00
       0.00      37625.74         0.11112E+04   0.46875E+03   0.41301E+04   0.00000E+00
       0.00      37666.07         0.11250E+04   0.47455E+03   0.41814E+04   0.00000E+00
       0.00      37706.40         0.11391E+04   0.48048E+03   0.42338E+04   0.00000E+00
       0.00      37746.73         0.11535E+04   0.48654E+03   0.42873E+04   0.00000E+00
       0.00      37787.05         0.11681E+04   0.49273E+03   0.43420E+04   0.00000E+00
       0.00      37827.38         0.11832E+04   0.49905E+03   0.43978E+04   0.00000E+00
       0.00      37867.71         0.11985E+04   0.50551E+03   0.44550E+04   0.00000E+00
       0.00      37908.04         0.12142E+04   0.51212E+03   0.45133E+04   0.00000E+00
       0.00      37948.37         0.12302E+04   0.51888E+03   0.45730E+04   0.00000E+00
       0.00      37988.69         0.12466E+04   0.52579E+03   0.46341E+04   0.00000E+00
       0.00      38029.02         0.12634E+04   0.53286E+03   0.46966E+04   0.00000E+00
       0.00      38069.35         0.12806E+04   0.54009E+03   0.47605E+04   0.00000E+00
       0.00      38109.68         0.12982E+04   0.54749E+03   0.48259E+04   0.00000E+00
       0.00      38150.00         0.13162E+04   0.55507E+03   0.48929E+04   0.00000E+00
       0.00      38190.33         0.13346E+04   0.56282E+03   0.49615E+04   0.00000E+00
       0.00      38230.66         0.13535E+04   0.57077E+03   0.50317E+04   0.00000E+00
       0.00      38270.99         0.13728E+04   0.57891E+03   0.51037E+04   0.00000E+00
       0.00      38311.32         0.13926E+04   0.58725E+03   0.51774E+04   0.00000E+00
       0.00      38351.64         0.14129E+04   0.59580E+03   0.52530E+04   0.00000E+00
       0.00      38391.97         0.14337E+04   0.60456E+03   0.53304E+04   0.00000E+00
       0.00      38432.30         0.14551E+04   0.61355E+03   0.54099E+04   0.00000E+00
       0.00      38472.63         0.14770E+04   0.62278E+03   0.54915E+04   0.00000E+00
       0.00      38512.95         0.14995E+04   0.63224E+03   0.55751E+04   0.00000E+00
       0.00      38553.28         0.15225E+04   0.64195E+03   0.56610E+04   0.00000E+00
       0.00      38593.61         0.15462E+04   0.65192E+03   0.57492E+04   0.00000E+00
       0.00      38633.94         0.15706E+04   0.66216E+03   0.58397E+04   0.00000E+00
       0.00      38674.26         0.15956E+04   0.67268E+03   0.59328E+04   0.00000E+00
       0.00      38714.59         0.16213E+04   0.68350E+03   0.60285E+04   0.00000E+00
       0.00      38754.92         0.16477E+04   0.69462E+03   0.61268E+04   0.00000E+00
       0.00      38795.25         0.16748E+04   0.70605E+03   0.62279E+04   0.00000E+00
       0.00      38835.58         0.17028E+04   0.71782E+03   0.63320E+04   0.00000E+00
       0.00      38875.90         0.17316E+04   0.72993E+03   0.64391E+04   0.00000E+00
       0.00      38916.23         0.17612E+04   0.74239E+03   0.65494E+04   0.00000E+00
       0.00      38956.56         0.17917E+04   0.75523E+03   0.66630E+04   0.00000E+00
       0.00      38996.89         0.18231E+04   0.76846E+03   0.67800E+04   0.00000E+00
       0.00      39037.21         0.18555E+04   0.78209E+03   0.69006E+04   0.00000E+00
       0.00      39077.54         0.18889E+04   0.79614E+03   0.70249E+04   0.00000E+00
       0.00      39117.87         0.19233E+04   0.81063E+03   0.71531E+04   0.00000E+00
       0.00      39158.20         0.19589E+04   0.82558E+03   0.72854E+04   0.00000E+00
       0.00      39198.52         0.19955E+04   0.84100E+03   0.74219E+04   0.00000E+00
       0.00      39238.85         0.20333E+04   0.85692E+03   0.75628E+04   0.00000E+00
       0.00      39279.18         0.20724E+04   0.87334E+03   0.77081E+04   0.00000E+00
       0.00      39319.51         0.21126E+04   0.89028E+03   0.78581E+04   0.00000E+00
       0.00      39359.84         0.21542E+04   0.90775E+03   0.80128E+04   0.00000E+00
       0.00      39400.16         0.21970E+04   0.92576E+03   0.81723E+04   0.00000E+00
       0.00      39440.49         0.22411E+04   0.94432E+03   0.83366E+04   0.00000E+00
       0.00      39480.82         0.22865E+04   0.96341E+03   0.85057E+04   0.00000E+00
       0.00      39521.15         0.23332E+04   0.98302E+03   0.86795E+04   0.00000E+00
       0.00      39561.47         0.23810E+04   0.10031E+04   0.88578E+04   0.00000E+00
       0.00      39601.80         0.24300E+04   0.10237E+04   0.90403E+04   0.00000E+00
       0.00      39642.13         0.24800E+04   0.10447E+04   0.92267E+04   0.00000E+00
       0.00      39682.46         0.25310E+04   0.10661E+04   0.94167E+04   0.00000E+00
       0.00      39722.78         0.25829E+04   0.10880E+04   0.96104E+04   0.00000E+00
       0.00      39763.11         0.26358E+04   0.11102E+04   0.98077E+04   0.00000E+00
       0.00      39803.44         0.26899E+04   0.11329E+04   0.10009E+05   0.00000E+00
       0.00      39843.77         0.27454E+04   0.11562E+04   0.10216E+05   0.00000E+00
       0.00      39884.10         0.28027E+04   0.11802E+04   0.10430E+05   0.00000E+00
       0.00      39924.42         0.28623E+04   0.12053E+04   0.10652E+05   0.00000E+00
       0.00      39964.75         0.29248E+04   0.12315E+04   0.10886E+05   0.00000E+00
       0.00      40005.08         0.29906E+04   0.12591E+04   0.11131E+05   0.00000E+00
