  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      37101.48         0.10244E+06   0.42675E+05   0.38418E+06   0.00000E+00
       0.00      37141.81         0.10761E+06   0.44830E+05   0.40358E+06   0.00000E+00
       0.00      37182.14         0.11279E+06   0.46987E+05   0.42300E+06   0.00000E+00
       0.00      37222.47         0.11774E+06   0.49051E+05   0.44159E+06   0.00000E+00
       0.00      37262.79         0.12216E+06   0.50891E+05   0.45815E+06   0.00000E+00
       0.00      37303.12         0.12562E+06   0.52332E+05   0.47112E+06   0.00000E+00
       0.00      37343.45         0.12767E+06   0.53185E+05   0.47880E+06   0.00000E+00
       0.00      37383.78         0.12790E+06   0.53282E+05   0.47967E+06   0.00000E+00
       0.00      37424.11         0.12611E+06   0.52538E+05   0.47298E+06   0.00000E+00
       0.00      37464.43         0.12245E+06   0.51014E+05   0.45926E+06   0.00000E+00
       0.00      37504.76         0.11745E+06   0.48929E+05   0.44048E+06   0.00000E+00
       0.00      37545.09         0.11189E+06   0.46615E+05   0.41966E+06   0.00000E+00
       0.00      37585.42         0.10665E+06   0.44431E+05   0.39999E+06   0.00000E+00
       0.00      37625.74         0.10241E+06   0.42663E+05   0.38407E+06   0.00000E+00
       0.00      37666.07         0.99560E+05   0.41477E+05   0.37340E+06   0.00000E+00
       0.00      37706.40         0.98202E+05   0.40911E+05   0.36830E+06   0.00000E+00
       0.00      37746.73         0.98183E+05   0.40903E+05   0.36823E+06   0.00000E+00
       0.00      37787.05         0.99200E+05   0.41326E+05   0.37204E+06   0.00000E+00
       0.00      37827.38         0.10088E+06   0.42026E+05   0.37834E+06   0.00000E+00
       0.00      37867.71         0.10285E+06   0.42848E+05   0.38574E+06   0.00000E+00
       0.00      37908.04         0.10482E+06   0.43666E+05   0.39311E+06   0.00000E+00
       0.00      37948.37         0.10658E+06   0.44400E+05   0.39971E+06   0.00000E+00
       0.00      37988.69         0.10805E+06   0.45012E+05   0.40522E+06   0.00000E+00
       0.00      38029.02         0.10923E+06   0.45505E+05   0.40966E+06   0.00000E+00
       0.00      38069.35         0.11019E+06   0.45904E+05   0.41325E+06   0.00000E+00
       0.00      38109.68         0.11100E+06   0.46243E+05   0.41630E+06   0.00000E+00
       0.00      38150.00         0.11176E+06   0.46560E+05   0.41916E+06   0.00000E+00
       0.00      38190.33         0.11257E+06   0.46895E+05   0.42218E+06   0.00000E+00
       0.00      38230.66         0.11352E+06   0.47292E+05   0.42575E+06   0.00000E+00
       0.00      38270.99         0.11475E+06   0.47806E+05   0.43038E+06   0.00000E+00
       0.00      38311.32         0.11642E+06   0.48502E+05   0.43664E+06   0.00000E+00
       0.00      38351.64         0.11870E+06   0.49449E+05   0.44517E+06   0.00000E+00
       0.00      38391.97         0.12172E+06   0.50707E+05   0.45649E+06   0.00000E+00
       0.00      38432.30         0.12556E+06   0.52306E+05   0.47089E+06   0.00000E+00
       0.00      38472.63         0.13020E+06   0.54241E+05   0.48831E+06   0.00000E+00
       0.00      38512.95         0.13555E+06   0.56469E+05   0.50837E+06   0.00000E+00
       0.00      38553.28         0.14141E+06   0.58910E+05   0.53034E+06   0.00000E+00
       0.00      38593.61         0.14750E+06   0.61448E+05   0.55319E+06   0.00000E+00
       0.00      38633.94         0.15347E+06   0.63937E+05   0.57560E+06   0.00000E+00
       0.00      38674.26         0.15894E+06   0.66214E+05   0.59610E+06   0.00000E+00
       0.00      38714.59         0.16353E+06   0.68128E+05   0.61333E+06   0.00000E+00
       0.00      38754.92         0.16699E+06   0.69566E+05   0.62627E+06   0.00000E+00
       0.00      38795.25         0.16917E+06   0.70474E+05   0.63445E+06   0.00000E+00
       0.00      38835.58         0.17012E+06   0.70873E+05   0.63804E+06   0.00000E+00
       0.00      38875.90         0.17007E+06   0.70851E+05   0.63784E+06   0.00000E+00
       0.00      38916.23         0.16937E+06   0.70560E+05   0.63522E+06   0.00000E+00
       0.00      38956.56         0.16844E+06   0.70172E+05   0.63173E+06   0.00000E+00
       0.00      38996.89         0.16764E+06   0.69840E+05   0.62874E+06   0.00000E+00
       0.00      39037.21         0.16716E+06   0.69637E+05   0.62691E+06   0.00000E+00
       0.00      39077.54         0.16691E+06   0.69533E+05   0.62597E+06   0.00000E+00
       0.00      39117.87         0.16660E+06   0.69403E+05   0.62481E+06   0.00000E+00
       0.00      39158.20         0.16582E+06   0.69082E+05   0.62191E+06   0.00000E+00
       0.00      39198.52         0.16427E+06   0.68433E+05   0.61607E+06   0.00000E+00
       0.00      39238.85         0.16181E+06   0.67411E+05   0.60687E+06   0.00000E+00
       0.00      39279.18         0.15860E+06   0.66074E+05   0.59484E+06   0.00000E+00
       0.00      39319.51         0.15497E+06   0.64559E+05   0.58120E+06   0.00000E+00
       0.00      39359.84         0.15128E+06   0.63025E+05   0.56739E+06   0.00000E+00
       0.00      39400.16         0.14788E+06   0.61607E+05   0.55463E+06   0.00000E+00
       0.00      39440.49         0.14497E+06   0.60393E+05   0.54370E+06   0.00000E+00
       0.00      39480.82         0.14262E+06   0.59415E+05   0.53489E+06   0.00000E+00
       0.00      39521.15         0.14081E+06   0.58661E+05   0.52810E+06   0.00000E+00
       0.00      39561.47         0.13944E+06   0.58090E+05   0.52296E+06   0.00000E+00
       0.00      39601.80         0.13838E+06   0.57648E+05   0.51898E+06   0.00000E+00
       0.00      39642.13         0.13751E+06   0.57287E+05   0.51573E+06   0.00000E+00
       0.00      39682.46         0.13676E+06   0.56975E+05   0.51292E+06   0.00000E+00
       0.00      39722.78         0.13612E+06   0.56706E+05   0.51050E+06   0.00000E+00
       0.00      39763.11         0.13561E+06   0.56497E+05   0.50862E+06   0.00000E+00
       0.00      39803.44         0.13532E+06   0.56372E+05   0.50750E+06   0.00000E+00
       0.00      39843.77         0.13527E+06   0.56354E+05   0.50733E+06   0.00000E+00
       0.00      39884.10         0.13550E+06   0.56449E+05   0.50819E+06   0.00000E+00
       0.00      39924.42         0.13597E+06   0.56645E+05   0.50995E+06   0.00000E+00
       0.00      39964.75         0.13662E+06   0.56915E+05   0.51238E+06   0.00000E+00
       0.00      40005.08         0.13736E+06   0.57225E+05   0.51518E+06   0.00000E+00
       0.00      40045.41         0.13814E+06   0.57548E+05   0.51808E+06   0.00000E+00
       0.00      40085.73         0.13890E+06   0.57863E+05   0.52092E+06   0.00000E+00
       0.00      40126.06         0.13962E+06   0.58164E+05   0.52362E+06   0.00000E+00
       0.00      40166.39         0.14031E+06   0.58452E+05   0.52622E+06   0.00000E+00
       0.00      40206.72         0.14100E+06   0.58738E+05   0.52880E+06   0.00000E+00
       0.00      40247.04         0.14172E+06   0.59041E+05   0.53152E+06   0.00000E+00
       0.00      40287.37         0.14253E+06   0.59377E+05   0.53455E+06   0.00000E+00
       0.00      40327.70         0.14344E+06   0.59757E+05   0.53797E+06   0.00000E+00
       0.00      40368.03         0.14444E+06   0.60173E+05   0.54172E+06   0.00000E+00
       0.00      40408.36         0.14545E+06   0.60596E+05   0.54552E+06   0.00000E+00
       0.00      40448.68         0.14636E+06   0.60974E+05   0.54892E+06   0.00000E+00
       0.00      40489.01         0.14701E+06   0.61243E+05   0.55135E+06   0.00000E+00
       0.00      40529.34         0.14725E+06   0.61343E+05   0.55225E+06   0.00000E+00
       0.00      40569.67         0.14697E+06   0.61228E+05   0.55121E+06   0.00000E+00
       0.00      40609.99         0.14614E+06   0.60881E+05   0.54808E+06   0.00000E+00
       0.00      40650.32         0.14480E+06   0.60325E+05   0.54308E+06   0.00000E+00
       0.00      40690.65         0.14310E+06   0.59616E+05   0.53670E+06   0.00000E+00
       0.00      40730.98         0.14122E+06   0.58834E+05   0.52965E+06   0.00000E+00
       0.00      40771.30         0.13934E+06   0.58050E+05   0.52259E+06   0.00000E+00
       0.00      40811.63         0.13757E+06   0.57309E+05   0.51593E+06   0.00000E+00
       0.00      40851.96         0.13591E+06   0.56619E+05   0.50972E+06   0.00000E+00
       0.00      40892.29         0.13431E+06   0.55952E+05   0.50371E+06   0.00000E+00
       0.00      40932.62         0.13266E+06   0.55265E+05   0.49753E+06   0.00000E+00
       0.00      40972.94         0.13088E+06   0.54523E+05   0.49085E+06   0.00000E+00
       0.00      41013.27         0.12894E+06   0.53714E+05   0.48357E+06   0.00000E+00
       0.00      41053.60         0.12686E+06   0.52851E+05   0.47579E+06   0.00000E+00
       0.00      41093.93         0.12473E+06   0.51962E+05   0.46779E+06   0.00000E+00
       0.00      41134.25         0.12262E+06   0.51084E+05   0.45989E+06   0.00000E+00
       0.00      41174.58         0.12062E+06   0.50248E+05   0.45236E+06   0.00000E+00
       0.00      41214.91         0.11876E+06   0.49474E+05   0.44540E+06   0.00000E+00
       0.00      41255.24         0.11707E+06   0.48771E+05   0.43907E+06   0.00000E+00
       0.00      41295.56         0.11554E+06   0.48136E+05   0.43334E+06   0.00000E+00
       0.00      41335.89         0.11415E+06   0.47555E+05   0.42812E+06   0.00000E+00
       0.00      41376.22         0.11285E+06   0.47014E+05   0.42325E+06   0.00000E+00
       0.00      41416.55         0.11161E+06   0.46498E+05   0.41860E+06   0.00000E+00
       0.00      41456.88         0.11041E+06   0.45997E+05   0.41409E+06   0.00000E+00
       0.00      41497.20         0.10925E+06   0.45512E+05   0.40972E+06   0.00000E+00
       0.00      41537.53         0.10813E+06   0.45048E+05   0.40555E+06   0.00000E+00
       0.00      41577.86         0.10709E+06   0.44615E+05   0.40165E+06   0.00000E+00
       0.00      41618.19         0.10615E+06   0.44220E+05   0.39810E+06   0.00000E+00
       0.00      41658.51         0.10530E+06   0.43866E+05   0.39491E+06   0.00000E+00
       0.00      41698.84         0.10454E+06   0.43550E+05   0.39207E+06   0.00000E+00
